date,area,average_price,code,houses_sold,no_of_crimes
2006-03-01,barking and dagenham,162004,E09000002,295.0,1863.0
2006-04-01,barking and dagenham,164204,E09000002,253.0,1811.0
2006-05-01,barking and dagenham,166048,E09000002,262.0,1909.0
2006-06-01,barking and dagenham,169013,E09000002,341.0,1825.0
2006-07-01,barking and dagenham,170204,E09000002,352.0,1808.0
2006-08-01,barking and dagenham,171177,E09000002,345.0,1756.0
2006-09-01,barking and dagenham,170251,E09000002,314.0,1760.0
2006-10-01,barking and dagenham,170091,E09000002,334.0,1853.0
2006-11-01,barking and dagenham,171598,E09000002,366.0,1872.0
2006-12-01,barking and dagenham,174285,E09000002,328.0,1493.0
2007-01-01,barking and dagenham,176577,E09000002,257.0,1790.0
2007-02-01,barking and dagenham,177051,E09000002,285.0,1526.0
2007-03-01,barking and dagenham,179011,E09000002,337.0,1754.0
2007-04-01,barking and dagenham,179847,E09000002,284.0,1716.0
2007-05-01,barking and dagenham,181828,E09000002,325.0,1679.0
2007-06-01,barking and dagenham,183476,E09000002,435.0,1607.0
2007-07-01,barking and dagenham,185929,E09000002,372.0,1569.0
2007-08-01,barking and dagenham,187337,E09000002,389.0,1559.0
2007-09-01,barking and dagenham,190223,E09000002,305.0,1585.0
2007-10-01,barking and dagenham,191576,E09000002,404.0,1721.0
2007-11-01,barking and dagenham,193603,E09000002,325.0,1630.0
2007-12-01,barking and dagenham,192458,E09000002,267.0,1518.0
2008-01-01,barking and dagenham,194235,E09000002,215.0,1667.0
2008-02-01,barking and dagenham,193699,E09000002,228.0,1626.0
2008-03-01,barking and dagenham,196257,E09000002,198.0,1588.0
2008-04-01,barking and dagenham,192932,E09000002,200.0,1731.0
2008-05-01,barking and dagenham,193573,E09000002,145.0,1609.0
2008-06-01,barking and dagenham,190727,E09000002,151.0,1659.0
2008-07-01,barking and dagenham,191067,E09000002,110.0,1790.0
2008-08-01,barking and dagenham,189100,E09000002,107.0,1689.0
2008-09-01,barking and dagenham,184659,E09000002,85.0,1430.0
2008-10-01,barking and dagenham,177921,E09000002,85.0,1630.0
2008-11-01,barking and dagenham,174390,E09000002,75.0,1602.0
2008-12-01,barking and dagenham,169722,E09000002,89.0,1506.0
2009-01-01,barking and dagenham,166798,E09000002,48.0,1660.0
2009-02-01,barking and dagenham,161879,E09000002,51.0,1631.0
2009-03-01,barking and dagenham,156811,E09000002,54.0,1892.0
2009-04-01,barking and dagenham,152209,E09000002,63.0,1735.0
2009-05-01,barking and dagenham,148433,E09000002,67.0,1707.0
2009-06-01,barking and dagenham,150194,E09000002,88.0,1649.0
2009-07-01,barking and dagenham,154105,E09000002,110.0,1705.0
2009-08-01,barking and dagenham,156272,E09000002,120.0,1622.0
2009-09-01,barking and dagenham,155827,E09000002,171.0,1618.0
2009-10-01,barking and dagenham,156674,E09000002,145.0,1600.0
2009-11-01,barking and dagenham,157272,E09000002,158.0,1554.0
2009-12-01,barking and dagenham,160889,E09000002,187.0,1425.0
2010-01-01,barking and dagenham,162905,E09000002,73.0,1603.0
2010-02-01,barking and dagenham,163023,E09000002,105.0,1521.0
2010-03-01,barking and dagenham,162831,E09000002,134.0,1752.0
2010-04-01,barking and dagenham,162756,E09000002,123.0,1669.0
2010-05-01,barking and dagenham,164903,E09000002,124.0,1655.0
2010-06-01,barking and dagenham,167148,E09000002,146.0,1757.0
2010-07-01,barking and dagenham,168661,E09000002,156.0,1783.0
2010-08-01,barking and dagenham,170216,E09000002,124.0,1684.0
2010-09-01,barking and dagenham,170253,E09000002,113.0,1609.0
2010-10-01,barking and dagenham,170298,E09000002,116.0,1608.0
2010-11-01,barking and dagenham,169250,E09000002,118.0,1620.0
2010-12-01,barking and dagenham,166485,E09000002,121.0,1221.0
2011-01-01,barking and dagenham,163821,E09000002,92.0,1485.0
2011-02-01,barking and dagenham,162484,E09000002,94.0,1438.0
2011-03-01,barking and dagenham,161660,E09000002,136.0,1648.0
2011-04-01,barking and dagenham,162401,E09000002,117.0,1635.0
2011-05-01,barking and dagenham,162703,E09000002,109.0,1744.0
2011-06-01,barking and dagenham,162304,E09000002,135.0,1631.0
2011-07-01,barking and dagenham,160895,E09000002,127.0,1635.0
2011-08-01,barking and dagenham,163477,E09000002,127.0,1695.0
2011-09-01,barking and dagenham,166865,E09000002,145.0,1427.0
2011-10-01,barking and dagenham,167493,E09000002,141.0,1430.0
2011-11-01,barking and dagenham,164847,E09000002,124.0,1518.0
2011-12-01,barking and dagenham,162631,E09000002,111.0,1444.0
2012-01-01,barking and dagenham,163899,E09000002,81.0,1538.0
2012-02-01,barking and dagenham,163607,E09000002,122.0,1402.0
2012-03-01,barking and dagenham,164438,E09000002,162.0,1683.0
2012-04-01,barking and dagenham,164731,E09000002,68.0,1363.0
2012-05-01,barking and dagenham,166503,E09000002,101.0,1500.0
2012-06-01,barking and dagenham,168049,E09000002,127.0,1412.0
2012-07-01,barking and dagenham,168007,E09000002,134.0,1450.0
2012-08-01,barking and dagenham,166180,E09000002,122.0,1402.0
